订货号,系列,尺寸
6SL3330-7TE32-1AB0,S120 ALM,FX
6SL3330-7TE32-6AB0,S120 ALM,FX
6SL3330-7TE33-8AB0,S120 ALM,GX
6SL3330-7TE35-0AB0,S120 ALM,GX
6SL3330-7TG31-4AB0,S120 ALM,FX
6SL3330-7TG33-1AB0,S120 ALM,FX
6SL3330-6TE35-5AA3,S120 SLM,GX
6SL3330-6TE37-3AA3,S120 SLM,GX
6SL3330-6TE41-1AA3,S120 SLM,HX
6SL3330-6TE41-3AA3,S120 SLM,JX
6SL3330-6TE41-7AA3,S120 SLM,JX
6SL3330-6TG35-5AA3,S120 SLM,GX
6SL3330-6TG38-8AA3,S120 SLM,HX
6SL3330-6TG41-2AA3,S120 SLM,JX
6SL3330-6TG41-7AA3,S120 SLM,JX
6SL3330-6TE35-5AA0,S120 SLM,GX
6SL3330-6TE37-3AA0,S120 SLM,GX
6SL3330-6TE41-1AA0,S120 SLM,HX
6SL3330-6TE41-3AA0,S120 SLM,JX
6SL3330-6TE41-7AA0,S120 SLM,JX
6SL3330-6TG35-5AA0,S120 SLM,GX
6SL3330-6TG38-8AA0,S120 SLM,HX
6SL3330-6TG41-2AA0,S120 SLM,JX
6SL3330-6TG41-7AA0,S120 SLM,JX
6SL3330-1TE34-2AA3,S120 BLM,FB
6SL3330-1TE35-3AA3,S120 BLM,FB
6SL3330-1TE38-2AA3,S120 BLM,FB
6SL3330-1TE41-2AA3,S120 BLM,GB
6SL3330-1TE41-5AA3,S120 BLM,GB
6SL3330-1TE41-8AA3,S120 BLM,GB
6SL3330-1TG33-0AA3,S120 BLM,FB
6SL3330-1TG34-3AA3,S120 BLM,FB
6SL3330-1TG36-8AA3,S120 BLM,FB
6SL3330-1TG41-1AA3,S120 BLM,GB
6SL3330-1TG41-4AA3,S120 BLM,GB
6SL3330-1TG41-8AA3,S120 BLM,GB
6SL3330-1TE34-2AA0,S120 BLM,FB
6SL3330-1TE35-3AA0,S120 BLM,FB
6SL3330-1TE38-2AA0,S120 BLM,FB
6SL3330-1TE41-2AA0,S120 BLM,GB
6SL3330-1TE41-5AA0,S120 BLM,GB
6SL3330-1TE41-8AA0,S120 BLM,GB
6SL3330-1TG33-0AA0,S120 BLM,FB
6SL3330-1TG34-3AA0,S120 BLM,FB
6SL3330-1TG36-8AA0,S120 BLM,FB
6SL3330-1TG41-1AA0,S120 BLM,GB
6SL3330-1TG41-4AA0,S120 BLM,GB
6SL3330-1TG41-8AA0,S120 BLM,GB
6SL3710-1TE32-1AA3,S120 AC/AC,FX
6SL3710-1TE32-6AA3,S120 AC/AC,FX
6SL3710-1TE33-1AA3,S120 AC/AC,GX
6SL3710-1TE33-8AA3,S120 AC/AC,GX
6SL3710-1TE35-0AA3,S120 AC/AC,GX
6SL3710-1TE32-1AA0,S120 AC/AC,FX
6SL3710-1TE32-6AA0,S120 AC/AC,FX
6SL3710-1TE33-1AA0,S120 AC/AC,GX
6SL3710-1TE33-8AA0,S120 AC/AC,GX
6SL3710-1TE35-0AA0,S120 AC/AC,GX
6SL3720-1TE32-1AA3,S120 MM,FX
6SL3720-1TE32-6AA3,S120 MM,FX
6SL3720-1TE33-1AA3,S120 MM,GX
6SL3720-1TE33-8AA3,S120 MM,GX
6SL3720-1TE35-0AA3,S120 MM,GX
6SL3720-1TE36-1AA3,S120 MM,HX
6SL3720-1TE37-5AA3,S120 MM,HX
6SL3720-1TE38-4AA3,S120 MM,HX
6SL3720-1TE41-0AA3,S120 MM,JX
6SL3720-1TE41-2AA3,S120 MM,JX
6SL3720-1TE41-4AA3,S120 MM,JX
6SL3720-1TG28-5AA3,S120 MM,FX
6SL3720-1TG31-0AA3,S120 MM,FX
6SL3720-1TG31-2AA3,S120 MM,FX
6SL3720-1TG31-5AA3,S120 MM,FX
6SL3720-1TG31-8AA3,S120 MM,GX
6SL3720-1TG32-2AA3,S120 MM,GX
6SL3720-1TG32-6AA3,S120 MM,GX
6SL3720-1TG33-3AA3,S120 MM,GX
6SL3720-1TG34-1AA3,S120 MM,HX
6SL3720-1TG34-7AA3,S120 MM,HX
6SL3720-1TG35-8AA3,S120 MM,HX
6SL3720-1TG37-4AA3,S120 MM,JX
6SL3720-1TG38-1AA3,S120 MM,JX
6SL3720-1TG38-8AA3,S120 MM,JX
6SL3720-1TG41-0AA3,S120 MM,JX
6SL3720-1TG41-3AA3,S120 MM,JX
6SL3720-1TE32-1AA0,S120 MM,FX
6SL3720-1TE32-6AA0,S120 MM,FX
6SL3720-1TE33-1AA0,S120 MM,GX
6SL3720-1TE33-8AA0,S120 MM,GX
6SL3720-1TE35-0AA0,S120 MM,GX
6SL3720-1TE36-1AA0,S120 MM,HX
6SL3720-1TE37-5AA0,S120 MM,HX
6SL3720-1TE38-4AA0,S120 MM,HX
6SL3720-1TE41-0AA0,S120 MM,JX
6SL3720-1TE41-2AA0,S120 MM,JX
6SL3720-1TE41-4AA0,S120 MM,JX
6SL3720-1TG28-5AA0,S120 MM,FX
6SL3720-1TG31-0AA0,S120 MM,FX
6SL3720-1TG31-2AA0,S120 MM,FX
6SL3720-1TG31-5AA0,S120 MM,FX
6SL3720-1TG31-8AA0,S120 MM,GX
6SL3720-1TG32-2AA0,S120 MM,GX
6SL3720-1TG32-6AA0,S120 MM,GX
6SL3720-1TG33-3AA0,S120 MM,GX
6SL3720-1TG34-1AA0,S120 MM,HX
6SL3720-1TG34-7AA0,S120 MM,HX
6SL3720-1TG35-8AA0,S120 MM,HX
6SL3720-1TG37-4AA0,S120 MM,JX
6SL3720-1TG38-1AA0,S120 MM,JX
6SL3720-1TG38-8AA0,S120 MM,JX
6SL3720-1TG41-0AA0,S120 MM,JX
6SL3720-1TG41-3AA0,S120 MM,JX
6SL3730-7TE32- 1BA3,S120 ALM,FX
6SL3730-7TE32- 6BA3 ,S120 ALM,FX
6SL3730-7TE33- 8BA3,S120 ALM,GX
6SL3730-7TE35- 0BA3,S120 ALM,GX
6SL3730-7TE36- 1BA3 ,S120 ALM,HX
6SL3730-7TE38- 4BA3,S120 ALM,HX
6SL3730-7TE41- 0BA3,S120 ALM,JX
6SL3730-7TE41- 4BA3,S120 ALM,JX
6SL3730-7TG35- 8BA3 ,S120 ALM,HX
6SL3730-7TG37- 4BA3,S120 ALM,JX
6SL3730-7TG41- 0BA3 ,S120 ALM,JX
6SL3730-7TG41- 3BA3,S120 ALM,JX
6SL3730-7TE32- 1BA0,S120 ALM,FX
6SL3730-7TE32- 6BA0 ,S120 ALM,FX
6SL3730-7TE33- 8BA0,S120 ALM,GX
6SL3730-7TE35- 0BA0,S120 ALM,GX
